# 学校/学院 seed 数据。
# 格式：type,tagId,name,parentTagId,description
#   - type: SCHOOL / COLLEGE
#   - tagId: 全局唯一，学校建议用 SCHOOL_<拼音简写>，学院建议用 COLLEGE_<学校简写>_<院系简写>
#   - parentTagId: SCHOOL 行留空；COLLEGE 行写对应学校的 tagId
#   - 以 # 开头的行会被忽略，空行会被忽略
#
# 部署时把这份 seed 替换成你真实的全量高校名单即可（首次启动自动导入，之后启动不会覆盖）。
# 管理员在后台界面也可以上传同格式的 CSV 做增量导入。

type,tagId,name,parentTagId,description
SCHOOL,SCHOOL_THU,清华大学,,
SCHOOL,SCHOOL_PKU,北京大学,,
SCHOOL,SCHOOL_FDU,复旦大学,,
SCHOOL,SCHOOL_SJTU,上海交通大学,,
SCHOOL,SCHOOL_ZJU,浙江大学,,
SCHOOL,SCHOOL_USTC,中国科学技术大学,,
SCHOOL,SCHOOL_NJU,南京大学,,
SCHOOL,SCHOOL_WHU,武汉大学,,
SCHOOL,SCHOOL_HUST,华中科技大学,,
SCHOOL,SCHOOL_SYSU,中山大学,,
SCHOOL,SCHOOL_SCU,四川大学,,
SCHOOL,SCHOOL_XJTU,西安交通大学,,
SCHOOL,SCHOOL_HIT,哈尔滨工业大学,,
SCHOOL,SCHOOL_RUC,中国人民大学,,
SCHOOL,SCHOOL_BNU,北京师范大学,,
SCHOOL,SCHOOL_TJU,天津大学,,
SCHOOL,SCHOOL_NKU,南开大学,,
SCHOOL,SCHOOL_BUAA,北京航空航天大学,,
SCHOOL,SCHOOL_BIT,北京理工大学,,
SCHOOL,SCHOOL_TONGJI,同济大学,,
# 只给少量重点高校 seed 学院（其他学校的学院留给管理员通过后台 CSV 导入补齐）
COLLEGE,COLLEGE_THU_CS,计算机科学与技术系,SCHOOL_THU,
COLLEGE,COLLEGE_THU_EE,电子工程系,SCHOOL_THU,
COLLEGE,COLLEGE_THU_AUTO,自动化系,SCHOOL_THU,
COLLEGE,COLLEGE_THU_MATH,数学科学系,SCHOOL_THU,
COLLEGE,COLLEGE_THU_PHY,物理系,SCHOOL_THU,
COLLEGE,COLLEGE_THU_ME,机械工程系,SCHOOL_THU,
COLLEGE,COLLEGE_THU_ECON,经济管理学院,SCHOOL_THU,
COLLEGE,COLLEGE_PKU_CS,信息科学技术学院,SCHOOL_PKU,
COLLEGE,COLLEGE_PKU_MATH,数学科学学院,SCHOOL_PKU,
COLLEGE,COLLEGE_PKU_PHY,物理学院,SCHOOL_PKU,
COLLEGE,COLLEGE_PKU_GSM,光华管理学院,SCHOOL_PKU,
COLLEGE,COLLEGE_PKU_LAW,法学院,SCHOOL_PKU,
COLLEGE,COLLEGE_SJTU_CS,电子信息与电气工程学院,SCHOOL_SJTU,
COLLEGE,COLLEGE_SJTU_ME,机械与动力工程学院,SCHOOL_SJTU,
COLLEGE,COLLEGE_SJTU_ACEM,安泰经济与管理学院,SCHOOL_SJTU,
COLLEGE,COLLEGE_ZJU_CS,计算机科学与技术学院,SCHOOL_ZJU,
COLLEGE,COLLEGE_ZJU_CME,化学工程与生物工程学院,SCHOOL_ZJU,
COLLEGE,COLLEGE_ZJU_SOM,管理学院,SCHOOL_ZJU,
COLLEGE,COLLEGE_FDU_CS,计算机科学技术学院,SCHOOL_FDU,
COLLEGE,COLLEGE_FDU_SOE,经济学院,SCHOOL_FDU,
COLLEGE,COLLEGE_FDU_SOM,管理学院,SCHOOL_FDU,
COLLEGE,COLLEGE_USTC_CS,计算机科学与技术学院,SCHOOL_USTC,
COLLEGE,COLLEGE_USTC_PHY,物理学院,SCHOOL_USTC,
COLLEGE,COLLEGE_NJU_CS,计算机科学与技术系,SCHOOL_NJU,
COLLEGE,COLLEGE_NJU_MATH,数学系,SCHOOL_NJU,
COLLEGE,COLLEGE_HUST_CS,计算机科学与技术学院,SCHOOL_HUST,
COLLEGE,COLLEGE_HUST_EI,电子信息与通信学院,SCHOOL_HUST,
COLLEGE,COLLEGE_WHU_CS,计算机学院,SCHOOL_WHU,
COLLEGE,COLLEGE_WHU_EIS,电子信息学院,SCHOOL_WHU,
COLLEGE,COLLEGE_SYSU_CSE,计算机学院,SCHOOL_SYSU,
COLLEGE,COLLEGE_XJTU_CS,电子与信息学部,SCHOOL_XJTU,
COLLEGE,COLLEGE_HIT_CS,计算学部,SCHOOL_HIT,
COLLEGE,COLLEGE_RUC_INFO,信息学院,SCHOOL_RUC,
COLLEGE,COLLEGE_BUAA_CS,计算机学院,SCHOOL_BUAA,
